,activation,epochs,optimizer,Mean,Std. Dev
0,relu,150,adam,0.5219512283802032,0.11048856395394764
1,relu,150,SGD,0.5121951222419738,0.0882778537409421
2,relu,200,adam,0.5078977882862091,0.13026037076013303
3,relu,200,SGD,0.5317073166370392,0.14313806479004423
4,relu,300,adam,0.5123112678527832,0.08465967105295177
5,relu,300,SGD,0.49291521310806274,0.0873565112520561
6,tanh,150,adam,0.5312427461147309,0.07814205560671228
7,tanh,150,SGD,0.4977932691574097,0.05627223079913359
8,tanh,200,adam,0.5023228824138641,0.06274787328732347
9,tanh,200,SGD,0.536353075504303,0.051970517416233326
10,tanh,300,adam,0.5840882778167724,0.10268628878059916
11,tanh,300,SGD,0.5507549464702606,0.0692831982954191
